30Rnd_65x39_caseless_mag,30Rnd_65x39_caseless_khaki_mag,30Rnd_65x39_caseless_black_mag
130Rnd_338_Mag,130Rnd_338_Mag,130Rnd_338_Mag
200Rnd_65x39_cased_Box,200Rnd_65x39_cased_Box,200Rnd_65x39_cased_Box
200Rnd_65x39_cased_Box_Red,200Rnd_65x39_cased_Box_Red,200Rnd_65x39_cased_Box_Red
200Rnd_65x39_cased_Box_Tracer_Red,200Rnd_65x39_cased_Box_Tracer_Red,200Rnd_65x39_cased_Box_Tracer_Red
20Rnd_762x51_Mag,20Rnd_762x51_Mag,20Rnd_762x51_Mag
arifle_MX_F,arifle_MX_khk_F,arifle_MX_Black_F
arifle_MX_GL_F,arifle_MX_GL_khk_F,arifle_MX_GL_black_F
arifle_MXC_F,arifle_MXC_khk_F,arifle_MXC_Black_F
arifle_MXM_F,arifle_MXM_khk_F,arifle_MXM_black_F
B_AssaultPack_mcamo,B_AssaultPack_tna_F,B_AssaultPack_wdl_F
B_Kitbag_mcamo,B_Kitbag_sgg,B_Kitbag_rgr
B_RadioBag_01_mtp_F,B_RadioBag_01_tropic_F,B_RadioBag_01_wdl_F
H_CrewHelmetHeli_B,H_CrewHelmetHeli_B,H_CrewHelmetHeli_B
H_HelmetB_snakeskin,H_HelmetB_tna_F,H_HelmetB_plain_wdl
H_HelmetSpecB_snakeskin,H_HelmetB_Enh_tna_F,H_HelmetSpecB_wdl
H_PilotHelmetHeli_B,H_PilotHelmetHeli_B,H_PilotHelmetHeli_B
LMG_Mk200_F,LMG_Mk200_BLACK_F,LMG_Mk200_black_F
MMG_02_camo_F,MMG_02_black_F,MMG_02_black_F
NVGoggles,NVGoggles_INDEP,NVGoggles_OPFOR
U_B_CombatUniform_mcam,U_B_T_Soldier_F,U_B_CombatUniform_mcam_wdl_f
U_B_CombatUniform_mcam_vest,U_B_T_Soldier_SL_F,U_B_CombatUniform_vest_mcam_wdl_f
V_BandollierB_oli,V_BandollierB_oli,V_BandollierB_oli
V_BandollierB_rgr,V_BandollierB_oli,V_BandollierB_rgr // REPLACE WHEREVER THESE ARE (for USA_Men and USA_MenSF) WITH V_BandollierB_oli
V_PlateCarrier1_rgr,V_PlateCarrier1_tna_F,V_PlateCarrier1_wdl
V_PlateCarrier2_rgr,V_PlateCarrier2_tna_F,V_PlateCarrier2_wdl
V_PlateCarrier2_rgr_noflag_F,V_PlateCarrier2_rgr_noflag_F,V_PlateCarrier2_rgr_noflag_F // REPLACE WHEREVER THESE ARE (for USA_Men and USA_MenSF)  WITH V_PlateCarrier2_rgr
V_PlateCarrierSpec_mtp,V_PlateCarrierSpec_tna_F,V_PlateCarrierSpec_wdl
V_TacVest_oli,V_TacVest_oli,V_TacVest_oli
bipod_01_F_snd,bipod_01_F_khk,bipod_01_F_blk
hgun_P07_F,hgun_P07_khk_F,hgun_P07_blk_F
launch_MRAWS_sand_F,launch_MRAWS_olive_F,launch_MRAWS_green_F
muzzle_snds_H_snd_F,muzzle_snds_H_khk_F,muzzle_snds_H
optic_Aco,optic_Aco,optic_Aco // REPLACE WHEREVER THESE ARE IN PZFP.SQF (for USA_Men and USA_MenSF) WITH optic_Holosight
optic_AMS_snd,optic_AMS_khk,optic_AMS
optic_ERCO_snd_F,optic_ERCO_khk_F,optic_ERCO_blk_F
optic_Hamr,optic_Hamr_khk_F,optic_Hamr
optic_Holosight,optic_Holosight_khk_F,optic_Holosight_blk_F
srifle_EBR_F,srifle_EBR_F,srifle_EBR_F
